Topic,Count,Name,Representative_Docs,Representative_Terms_Count,topic_label
0,104,디지털 | 전해질 | 리튬,AAV || ACK || HARQ || 가이드 || 가전제품 || 게이트 || 구조물 || 구조체 || 그리퍼 || 나트륨 이온 || 단말기 || 드라이버 || 디바이스 || 디스플레이 || 디지털 || 디지털 변환 || 디지털 트윈 || 라이트 || 레독스 || 레이트 || 레티클 || 레티클 컨테이너 || 리튬 || 마이오 || 매트릭스 || 메모리 || 메탄올 || 모니터링 || 모니터링 시스템 || 방향족 || 백라이트 || 베이스 || 복합체 || 사용자 단말 || 산화물 || 서비스 || 세라믹 || 스마트 || 스테이션 || 스트림 || 스펜서 || 실시간 || 아크릴 || 알루미늄 || 알루미늄 합금 || 애플리케이션 || 양극 || 어셈블리 || 억제제 || 업데이트 || 에어로 || 오디오 || 와이어 || 윤활유 || 윤활유 조성 || 윤활유 조성물 || 음극 || 이벤트 || 인서트 || 인코딩 || 자동차 || 전자파 차폐 || 전해질 || 접착제 || 정전기 방전 || 조성물 || 주파수 || 중합체 || 지지대 || 청정기 || 초음파 || 초음파 발생 || 촉매 || 카운터 || 카트리지 || 캐비닛 || 컨테이너 || 컴퓨터 || 컴퓨터 구현 || 컴퓨터 판독 || 컴퓨터 프로그램 || 컴퓨팅 || 케이스 || 콘텐츠 || 테스트 || 테스트 코드 || 텍스트 || 트레이 || 파라미터 || 파일럿 || 포인트 || 포토레지스트 || 폴리머 || 프레임 || 프로그램 || 프로그램 제품 || 프로세서 || 프로세스 || 플라스틱 || 플라즈마 || 플랫폼 || 플레이트 || 혼합물 || 화학식,15,디지털 | 전해질 | 리튬
9,5,반도체 | 실리콘 | 트랜지스터,반도체 || 반도체 디바이스 || 반도체 장치 || 실리콘 || 트랜지스터,5,반도체 | 실리콘 | 트랜지스터
1,5,배터리 | 열처리 | 에너지,RF 에너지 || 배터리 || 에너지 || 에너지 발생 || 열처리,5,배터리 | 열처리 | 에너지
10,4,이미지 | 센서 | 카메라,비디오 || 이미지 || 이미지 센서 || 카메라,4,이미지 | 센서 | 카메라
6,4,포토레지스트 | 레이저 | 방사선,레이저 || 방사선 || 자외선 || 포토레지스트 조성물,4,포토레지스트 | 레이저 | 방사선
4,4,파이프 | 단섬유 | 케이블,단섬유 || 커넥터 || 케이블 || 파이프,4,파이프 | 단섬유 | 케이블
3,2,유전자 | 단백질,단백질 || 유전자,2,유전자 | 단백질
2,2,바이러스 | CSI,CSI || 바이러스,2,바이러스 | CSI
5,1,탄소,탄소,1,탄소
8,1,데이터,데이터 유닛,1,데이터
7,1,PDCCH,PDCCH,1,PDCCH
