concept_label,concept_df_proxy,concept_tf_sum,concept_best_phrase_score,concept_score_proxy,concept_size,concept_id,member_phrases_str,member_representatives_str
조성물,45,110,5.0760000000000005,5.0760000000000005,1,C0001,조성물,조성물
프레임,24,82,4.1974,4.1974,1,C0002,프레임,프레임
디바이스,23,54,4.1922,4.1922,1,C0003,디바이스,디바이스
반도체,22,107,6.8183,6.8183,2,C0004,반도체 || 반도체 디바이스,반도체 || 반도체 디바이스
이미지,21,95,5.4053,5.4053,2,C0005,이미지 || 이미지 센서,이미지 || 이미지 센서
프로세서,21,41,4.7405,4.7405,1,C0006,프로세서,프로세서
메모리,17,47,5.3364,5.3364,1,C0007,메모리,메모리
프로그램,16,20,4.5966000000000005,4.5966000000000005,1,C0008,프로그램,프로그램
구조물,15,43,5.28,5.28,1,C0009,구조물,구조물
컴퓨터,15,35,4.4,4.4,3,C0010,컴퓨터 || 컴퓨터 구현 || 컴퓨터 판독,컴퓨터 || 컴퓨터 구현 || 컴퓨터 판독
에너지,14,40,5.1123,5.1123,2,C0011,에너지 || 에너지 발생,에너지 || 에너지 발생
카메라,14,33,4.9232,4.9232,1,C0012,카메라,카메라
탄소,14,30,4.5879,4.5879,1,C0013,탄소,탄소
디스플레이,13,42,4.613,4.613,1,C0014,디스플레이,디스플레이
배터리,12,43,5.19,5.19,1,C0015,배터리,배터리
서비스,12,23,5.1013,5.1013,1,C0016,서비스,서비스
프로세스,12,22,4.4427,4.4427,1,C0017,프로세스,프로세스
베이스,12,26,4.0267,4.0267,1,C0018,베이스,베이스
콘텐츠,11,34,4.7004,4.7004,1,C0019,콘텐츠,콘텐츠
리튬,10,28,6.1946,6.1946,1,C0020,리튬,리튬
촉매,10,29,5.656,5.656,1,C0021,촉매,촉매
가이드,10,19,4.0666,4.0666,1,C0022,가이드,가이드
컴퓨터 프로그램,9,11,5.5913,5.5913,1,C0023,컴퓨터 프로그램,컴퓨터 프로그램
레이저,9,46,5.0618,5.0618,1,C0024,레이저,레이저
알루미늄,9,23,4.7134,4.7134,2,C0025,알루미늄 || 알루미늄 합금,알루미늄 || 알루미늄 합금
실리콘,9,26,4.5978,4.5978,1,C0026,실리콘,실리콘
파라미터,9,18,4.1339,4.1339,1,C0027,파라미터,파라미터
반도체 장치,8,21,6.074,6.074,1,C0028,반도체 장치,반도체 장치
플라즈마,8,25,5.7254,5.7254,1,C0029,플라즈마,플라즈마
유전자,8,23,5.0946,5.0946,1,C0030,유전자,유전자
어셈블리,8,19,4.9694,4.9694,1,C0031,어셈블리,어셈블리
방사선,8,21,4.8426,4.8426,1,C0032,방사선,방사선
사용자 단말,8,21,4.764,4.764,1,C0033,사용자 단말,사용자 단말
스트림,8,20,4.7174,4.7174,1,C0034,스트림,스트림
단백질,8,17,4.6507,4.6507,1,C0035,단백질,단백질
산화물,8,35,4.5906,4.5906,1,C0036,산화물,산화물
화학식,8,14,3.5467,3.5467,1,C0037,화학식,화학식
테스트,7,53,6.0056,6.0056,2,C0038,테스트 || 테스트 코드,테스트 || 테스트 코드
구조체,7,22,4.7538,4.7538,1,C0039,구조체,구조체
텍스트,7,15,4.5538,4.5538,1,C0040,텍스트,텍스트
플레이트,7,19,4.476,4.476,1,C0041,플레이트,플레이트
케이스,7,43,4.3394,4.3394,1,C0042,케이스,케이스
게이트,7,26,4.3394,4.3394,1,C0043,게이트,게이트
포인트,7,20,4.3352,4.3352,1,C0044,포인트,포인트
트레이,7,46,4.217,4.217,1,C0045,트레이,트레이
인코딩,7,13,4.1427,4.1427,1,C0046,인코딩,인코딩
아크릴,7,13,4.0061,4.0061,1,C0047,아크릴,아크릴
디지털,6,29,5.782,5.782,2,C0048,디지털 || 디지털 변환,디지털 || 디지털 변환
접착제,6,16,5.0247,5.0247,1,C0049,접착제,접착제
억제제,6,14,4.8913,4.8913,1,C0050,억제제,억제제
인서트,6,22,4.686,4.686,1,C0051,인서트,인서트
와이어,6,24,4.534,4.534,1,C0052,와이어,와이어
단말기,6,19,4.534,4.534,1,C0053,단말기,단말기
플라스틱,6,15,4.486,4.486,1,C0054,플라스틱,플라스틱
레이트,6,14,4.2673,4.2673,1,C0055,레이트,레이트
컨테이너,6,13,4.1927,4.1927,1,C0056,컨테이너,컨테이너
자동차,6,8,4.1713,4.1713,1,C0057,자동차,자동차
혼합물,6,16,4.0887,4.0887,1,C0058,혼합물,혼합물
전해질,6,15,4.045999999999999,4.045999999999999,1,C0059,전해질,전해질
주파수,6,13,4.0407,4.0407,1,C0060,주파수,주파수
컴퓨팅,6,16,3.9287,3.9287,1,C0061,컴퓨팅,컴퓨팅
열처리,6,13,3.8887,3.8887,1,C0062,열처리,열처리
트랜지스터,6,26,3.75,3.75,1,C0063,트랜지스터,트랜지스터
이벤트,6,25,3.51,3.51,1,C0064,이벤트,이벤트
스마트,5,15,4.8116,4.8116,1,C0065,스마트,스마트
모니터링,5,24,4.7051,4.7051,2,C0066,모니터링 || 모니터링 시스템,모니터링 || 모니터링 시스템
애플리케이션,5,16,4.7051,4.7051,1,C0067,애플리케이션,애플리케이션
실시간,5,15,4.6384,4.6384,1,C0068,실시간,실시간
케이블,5,18,4.4784,4.4784,1,C0069,케이블,케이블
프로그램 제품,5,6,3.965,3.965,1,C0070,프로그램 제품,프로그램 제품
포토레지스트,5,11,3.7317,3.7317,2,C0071,포토레지스트 || 포토레지스트 조성물,포토레지스트 || 포토레지스트 조성물
방향족,5,11,3.6517,3.6517,1,C0072,방향족,방향족
자외선,5,11,3.6383,3.6383,1,C0073,자외선,자외선
폴리머,5,13,3.5983,3.5983,1,C0074,폴리머,폴리머
매트릭스,5,15,3.5584,3.5584,1,C0075,매트릭스,매트릭스
초음파,4,20,4.5207,4.5207,2,C0076,초음파 || 초음파 발생,초음파 || 초음파 발생
업데이트,4,11,4.0039,4.0039,1,C0077,업데이트,업데이트
지지대,4,17,3.9719,3.9719,1,C0078,지지대,지지대
라이트,4,8,3.8039,3.8039,1,C0079,라이트,라이트
비디오,4,16,3.6787,3.6787,1,C0080,비디오,비디오
커넥터,4,16,3.6787,3.6787,1,C0081,커넥터,커넥터
중합체,4,12,3.6386,3.6386,1,C0082,중합체,중합체
양극,3,16,5.2257,5.2257,1,C0083,양극,양극
음극,3,10,4.8257,4.8257,1,C0084,음극,음극
복합체,3,8,4.4443,4.4443,1,C0085,복합체,복합체
플랫폼,3,12,4.159,4.159,1,C0086,플랫폼,플랫폼
카트리지,3,9,3.959,3.959,1,C0087,카트리지,카트리지
바이러스,3,6,3.759,3.759,1,C0088,바이러스,바이러스
카운터,3,14,3.7403,3.7403,1,C0089,카운터,카운터
캐비닛,3,14,3.7403,3.7403,1,C0090,캐비닛,캐비닛
세라믹,3,13,3.6737,3.6737,1,C0091,세라믹,세라믹
에어로,3,9,3.6657,3.6657,1,C0092,에어로,에어로
데이터,3,8,3.6403,3.6403,1,C0093,데이터 유닛,데이터 유닛
드라이버,3,11,3.5403,3.5403,1,C0094,드라이버,드라이버
오디오,3,15,3.5137,3.5137,1,C0095,오디오,오디오
RF,2,7,5.1541,5.1541,1,C0096,RF 에너지,RF 에너지
윤활유,2,12,5.0541,5.0541,3,C0097,윤활유 || 윤활유 조성 || 윤활유 조성물,윤활유 || 윤활유 조성 || 윤활유 조성물
메탄올,2,20,4.8874,4.8874,1,C0098,메탄올,메탄올
파이프,2,16,4.7541,4.7541,1,C0099,파이프,파이프
단섬유,2,14,4.6207,4.6207,1,C0100,단섬유,단섬유
가전제품,2,11,4.4207,4.4207,1,C0101,가전제품,가전제품
디지털 트윈,2,5,4.3207,4.3207,1,C0102,디지털 트윈,디지털 트윈
스펜서,2,9,4.2874,4.2874,1,C0103,스펜서,스펜서
마이오,2,7,4.1541,4.1541,1,C0104,마이오,마이오
청정기,2,7,4.1541,4.1541,1,C0105,청정기,청정기
AAV,2,4,4.0273,4.0273,1,C0106,AAV,AAV
백라이트,2,5,4.0207,4.0207,1,C0107,백라이트,백라이트
파일럿,2,15,3.8954,3.8954,1,C0108,파일럿,파일럿
레티클,2,12,3.8939,3.8939,2,C0109,레티클 || 레티클 컨테이너,레티클 || 레티클 컨테이너
전자파,2,5,3.8939,3.8939,1,C0110,전자파 차폐,전자파 차폐
그리퍼,2,3,3.8874,3.8874,1,C0111,그리퍼,그리퍼
ACK,2,6,3.7954,3.7954,1,C0112,ACK,ACK
HARQ,2,6,3.7954,3.7954,1,C0113,HARQ,HARQ
나트륨 이온,2,8,3.7287,3.7287,1,C0114,나트륨 이온,나트륨 이온
CSI,2,4,3.6621,3.6621,1,C0115,CSI,CSI
PDCCH,2,4,3.6621,3.6621,1,C0116,PDCCH,PDCCH
스테이션,2,11,3.6287,3.6287,1,C0117,스테이션,스테이션
정전기,2,5,3.5287,3.5287,1,C0118,정전기 방전,정전기 방전
레독스,2,4,3.5273,3.5273,1,C0119,레독스,레독스
